融资方,投资机构,融资金额,轮次,投资时间,Url
金斧子,红杉资本中国,1000万美元,A轮,2014-05-01,http://if.pedaily.cn/invest/50006306.shtml
桔子理财,险峰华兴,N/A,天使投资,2014-05-01,http://if.pedaily.cn/invest/50006424.shtml
365金融/世袭投资,未公开,1500万美元,A轮,2014-05-01,http://if.pedaily.cn/invest/50006412.shtml
比特帮,国富源投资,100万人民币,天使投资,2014-05-01,http://if.pedaily.cn/invest/50006043.shtml
天使客,德迅投资/曾李青,N/A,天使投资,2014-04-24,http://if.pedaily.cn/invest/50006095.shtml
VCHello微投网,易一天使,N/A,天使投资,2014-04-16,http://if.pedaily.cn/invest/50006411.shtml
Silvrr豆子科技,IDG资本,N/A,天使投资,2014-04-12,http://if.pedaily.cn/invest/50006433.shtml
有人贷/安信卓越,未公开,N/A,A轮,2014-04-01,http://if.pedaily.cn/invest/50006426.shtml
钱先生,盛大资本/盛大,1000万人民币,A轮,2014-04-01,http://if.pedaily.cn/invest/50006304.shtml
金融一号店/投融有道,东软集团Neusoft,1000万人民币,A轮,2014-04-01,http://if.pedaily.cn/invest/50006328.shtml
恒生电子,浙江融信马云,329939万人民币,并购,2014-04-01,http://if.pedaily.cn/invest/50006041.shtml
钱景财富,盛大资本/华山投资,N/A,A轮,2014-04-01,http://if.pedaily.cn/invest/50006021.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

e乐充,未公开,2000万人民币,A轮,2014-03-31,http://if.pedaily.cn/invest/50006354.shtml
币丰港/币丰支付,IDG资本,N/A,A轮,2014-03-31,http://if.pedaily.cn/invest/50006428.shtml
趣分期,梅花天使创投/吴世春,N/A,天使投资,2014-03-30,http://if.pedaily.cn/invest/50006027.shtml
OKcoin比特币/北京乐酷达,联创策源、荷多、乐搏资本等,1000万美元,A轮,2014-03-18,http://if.pedaily.cn/invest/50006084.shtml
联拓金融,联想之星,100万人民币,天使投资,2014-03-11,http://if.pedaily.cn/invest/50006105.shtml
火币网,红杉资本中国,1000万美元,A轮,2014-03-07,http://if.pedaily.cn/invest/50006034.shtml
真格贷/中融国金,中科招商,500万人民币,A轮,2014-03-07,http://if.pedaily.cn/invest/50006329.shtml
一路财富,国泰创投,1000万人民币,A轮,2014-03-05,http://if.pedaily.cn/invest/50006033.shtml
币付宝,BitFund.PE李笑来,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006085.shtml
意时网,国泰君安力鼎,2500万人民币,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006012.shtml
融卡科技,创业邦天使基金,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006355.shtml
Mybank迈伴客,未公开,1000万人民币,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006422.shtml
订单保/华甫达,真格基金,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006425.shtml
账贷通/联拓金融,联想之星,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006417.shtml
钱程网,未公开,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006418.shtml
乐钱,未公开,N/A,天使投资,2014-03-01,http://if.pedaily.cn/invest/50006419.shtml
钱方,未公开,10000万人民币,B轮,2014-02-27,http://if.pedaily.cn/invest/50006321.shtml
大家投,不公开的投资者,300万人民币,A轮,2014-02-27,http://if.pedaily.cn/invest/50006018.shtml
积木盒子,银泰资本Ventech,1000万美元,A轮,2014-02-24,http://if.pedaily.cn/invest/50006349.shtml
钱小二,未公开,100万人民币,天使投资,2014-02-12,http://if.pedaily.cn/invest/50006330.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

融百科/上海沪谯金融,未公开,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006336.shtml
小蚁BitAngelsClub,PreAngel/PA镭厉/PA鉴睿,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006420.shtml
网融天下,未公开,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006415.shtml
前隆金融,清科创投/恩惟资本,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006015.shtml
牛股王,险峰华兴,N/A,天使投资,2014-02-01,http://if.pedaily.cn/invest/50006049.shtml
网利金融,IDG资本,1000万美元,A轮,2014-02-01,http://if.pedaily.cn/invest/50006050.shtml
Formax福亿,IDG资本/华创资本,N/A,A轮,2014-01-31,http://if.pedaily.cn/invest/50006054.shtml
中国量化投资网,华创资本,N/A,天使投资,2014-01-30,http://if.pedaily.cn/invest/50006427.shtml
顺付卡,PreAngel/荷多,150万人民币,天使投资,2014-01-07,http://if.pedaily.cn/invest/50006028.shtml
钜派投资,新浪微博基金/景林投资,N/A,B轮,2014-01-01,http://if.pedaily.cn/invest/50006056.shtml
掌上汇通,IDG资本/险峰华兴,15000万人民币,A轮,2014-01-01,http://if.pedaily.cn/invest/50006058.shtml
东方睿赢,不公开的投资者,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006051.shtml
汇众财富,不公开的投资者,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006052.shtml
锐博汇通,IDG资本,200万美元,A轮,2014-01-01,http://if.pedaily.cn/invest/50006086.shtml
AngelCrunch天使汇,天津国有PE,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006096.shtml
恩牛网络,SIG海纳亚洲/清流资本,1500万美元,A轮,2014-01-01,http://if.pedaily.cn/invest/50006066.shtml
乐童音乐,不公开的投资者,100万人民币,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006020.shtml
宽谷奥立安,北京中海投资,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006106.shtml
安硕信息Amarsoft,未透露的投资人,N/A,上市,2014-01-01,http://if.pedaily.cn/invest/50006107.shtml
爱投资/安投融,中援应急,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006099.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

点心贷/点心科技,NextBig三万弘合投资/3W创业基金,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006421.shtml
鑫银国际,红杉资本中国,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006404.shtml
财富说/财富达人网络,未公开,N/A,天使投资,2014-01-01,http://if.pedaily.cn/invest/50006407.shtml
凤凰云科技/飞付卡,未公开,N/A,A轮,2014-01-01,http://if.pedaily.cn/invest/50006356.shtml
点融网,北极光创投,N/A,N/A,2013-12-20,http://if.pedaily.cn/invest/50004000.shtml
点名时间,经纬中国、英特尔投资,450万美元,A轮,2013-12-17,http://if.pedaily.cn/invest/50006022.shtml
Coinbase,Andreessen Horowitz,2500万美元,B轮,2013-12-12,http://if.pedaily.cn/invest/50002000.shtml
上海魔卡,银杏谷投资,N/A,天使投资,2013-12-01,http://if.pedaily.cn/invest/50006060.shtml
好买基金网/好买财富,腾讯产业共赢基金/腾讯,N/A,B轮,2013-12-01,http://if.pedaily.cn/invest/50006337.shtml
金融派/予墨信息,未公开,N/A,天使投资,2013-12-01,http://if.pedaily.cn/invest/50006338.shtml
wPay微派支付,未公开,N/A,A轮,2013-12-01,http://if.pedaily.cn/invest/50006333.shtml
铜板街,IDG资本,1000万美元,A轮,2013-11-30,http://if.pedaily.cn/invest/50006007.shtml
有利网,软银中国/软银集团,1000万美元,A轮,2013-11-01,http://if.pedaily.cn/invest/187.shtml
拍拍贷,阿里巴巴/阿里资本,3500万美元,B轮,2013-11-01,http://if.pedaily.cn/invest/193.shtml
比特币中国/上海萨图西网络,光速安振/光速创投,500万美元,A轮,2013-11-01,http://if.pedaily.cn/invest/203.shtml
火币网,真格基金,100万人民币,天使投资,2013-11-01,http://if.pedaily.cn/invest/50006035.shtml
CreditBit信用币,appWorks之初创投,N/A,天使投资,2013-11-01,http://if.pedaily.cn/invest/50006357.shtml
华腾数据,汇付天下,N/A,并购,2013-11-01,http://if.pedaily.cn/invest/50006359.shtml
51贷/五一贷金融,德迅投资/曾李青，架桥投资,N/A,天使投资,2013-10-30,http://if.pedaily.cn/invest/50006408.shtml
91金融,经纬中国/宽带资本/九合创投,6000万人民币,A轮,2013-10-24,http://if.pedaily.cn/invest/50006063.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

新工场投资,华创资本,100万人民币,天使投资,2013-10-01,http://if.pedaily.cn/invest/50006064.shtml
云币,BitFund.PE李笑来,N/A,天使投资,2013-10-01,http://if.pedaily.cn/invest/50006087.shtml
EMIE亿觅创意网,景林投资/景林资产,N/A,A轮,2013-10-01,http://if.pedaily.cn/invest/222.shtml
91贷款网,"经纬中国,宽带资本CBC",6000万人民币,A轮,2013-10-01,http://if.pedaily.cn/invest/225.shtml
上海瀚银科技/手付通,N/A,N/A,N/A,2013-10-01,http://if.pedaily.cn/invest/231.shtml
上海承泰信息/承泰无线移动传媒,上海永宣,N/A,A轮,2013-10-01,http://if.pedaily.cn/invest/237.shtml
挖财,鼎晖投资,300万美元,A轮,2013-10-01,http://if.pedaily.cn/invest/257.shtml
上海承泰信息/承泰无线移动传媒,上海永宣,N/A,A轮,2013-10-01,http://if.pedaily.cn/invest/267.shtml
99无限/上海瀚银,未透漏的投资人,N/A,上市,2013-10-01,http://if.pedaily.cn/invest/50006108.shtml
奇点集/奇点创投,海银资本,N/A,天使投资,2013-10-01,http://if.pedaily.cn/invest/50006379.shtml
哆啦宝,未公开,N/A,A轮,2013-10-01,http://if.pedaily.cn/invest/50006334.shtml
扑满Puman,TMI台湾创意工场,N/A,天使投资,2013-10-01,http://if.pedaily.cn/invest/50006307.shtml
银讯网,盛大资本,100万人民币,天使投资,2013-10-01,http://if.pedaily.cn/invest/50006308.shtml
易九金融,易一天使,N/A,天使投资,2013-09-29,http://if.pedaily.cn/invest/50006409.shtml
思创银联,宽带资本,1500万人民币,并购,2013-09-20,http://if.pedaily.cn/invest/50006109.shtml
挖财,IDG资本,N/A,A轮,2013-09-01,http://if.pedaily.cn/invest/307.shtml
大家保,启明创投,N/A,A轮,2013-09-01,http://if.pedaily.cn/invest/344.shtml
挖财,IDG资本/鼎晖创投 /启明创投,3000万美元,A轮,2013-09-01,http://if.pedaily.cn/invest/50006047.shtml
随手科技,红杉资本,N/A,A+,2013-09-01,http://if.pedaily.cn/invest/50006068.shtml
大众卡惠,英诺天使基金/厚德创新谷,N/A,天使投资,2013-09-01,http://if.pedaily.cn/invest/50006071.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

币行/友聚惠,IDG资本,N/A,A轮,2013-09-01,http://if.pedaily.cn/invest/50006402.shtml
微财网/大简信息,未公开,200万人民币,天使投资,2013-09-01,http://if.pedaily.cn/invest/50006310.shtml
基金豆,华创资本,N/A,天使投资,2013-09-01,http://if.pedaily.cn/invest/50006339.shtml
19pay一九付/高阳捷迅,高鸿股份,81400万人民币,并购,2013-09-01,http://if.pedaily.cn/invest/50006360.shtml
财豹,创业基金会/创业接力天使,N/A,天使投资,2013-08-01,http://if.pedaily.cn/invest/50006403.shtml
上海捷银支付,中国平安/平安创新投资基金,N/A,N/A,2013-08-01,http://if.pedaily.cn/invest/375.shtml
点融网,北极光创投,N/A,A轮,2013-08-01,http://if.pedaily.cn/invest/412.shtml
盈盈理财,N/A,N/A,A轮,2013-08-01,http://if.pedaily.cn/invest/419.shtml
盈盈理财,联创策源,2000万人民币,A轮,2013-08-01,http://if.pedaily.cn/invest/50006073.shtml
融360,红杉资本中国、清科创投、光速创投、凯鹏华盈,3000万美元,B轮,2013-07-22,http://if.pedaily.cn/invest/50006318.shtml
好贷网,红杉资本中国,1000万人民币,A轮,2013-07-01,http://if.pedaily.cn/invest/50006319.shtml
MEIX美市网,创业工场VenturesLab,N/A,天使投资,2013-07-01,http://if.pedaily.cn/invest/50006320.shtml
盒子支付,金沙江创投、国微技术,1000万美元,B轮,2013-07-01,http://if.pedaily.cn/invest/50006362.shtml
好项目,未公开,N/A,天使投资,2013-07-01,http://if.pedaily.cn/invest/50006397.shtml
好贷网/心向优势,DCM中国，同创伟业,N/A,A轮,2013-07-01,http://if.pedaily.cn/invest/50006399.shtml
上海诚数信息科技有限公司,未透露的投资人,N/A,天使投资,2013-07-01,http://if.pedaily.cn/invest/50006110.shtml
雪球,"红杉资本,晨兴创投,MorningSide",1000万美元,B轮,2013-06-01,http://if.pedaily.cn/invest/88.shtml
盈盈理财,不公开的投资者,100万人民币,天使投资,2013-06-01,http://if.pedaily.cn/invest/50006072.shtml
股360,凯旋创投,N/A,B轮,2013-06-01,http://if.pedaily.cn/invest/50006075.shtml
比特币交易网,未透露的投资人,100万美元,天使投资,2013-05-01,http://if.pedaily.cn/invest/50006088.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

杭州捷蓝信息,深圳市创新投资集团(深创投),N/A,A轮,2013-05-01,http://if.pedaily.cn/invest/123.shtml
BtcTrade比特币交易网,未公开,100万美元,天使投资,2013-05-01,http://if.pedaily.cn/invest/50006398.shtml
金电联行,国科嘉和,N/A,A轮,2013-04-27,http://if.pedaily.cn/invest/50006410.shtml
哆啦宝,真格基金,N/A,天使投资,2013-03-12,http://if.pedaily.cn/invest/50006335.shtml
点融网,上海致景投资,N/A,天使投资,2013-03-01,http://if.pedaily.cn/invest/50006350.shtml
好贷网/心向优势,合力投资,N/A,天使投资,2013-03-01,http://if.pedaily.cn/invest/50006400.shtml
锐博汇通,IDG资本,100万人民币,天使投资,2013-03-01,http://if.pedaily.cn/invest/50006089.shtml
速溶360,未透露的投资人,N/A,天使投资,2013-03-01,http://if.pedaily.cn/invest/50006100.shtml
OKcoin比特币/北京乐酷达,创业工场VenturesLab,100万美元,天使投资,2013-02-01,http://if.pedaily.cn/invest/50006090.shtml
雅酷时空,天图资本、未知投资者,7000万人民币,B轮,2013-02-01,http://if.pedaily.cn/invest/50006038.shtml
多钱网,不公开的投资者,N/A,A轮,2013-02-01,http://if.pedaily.cn/invest/50006024.shtml
OKcoin比特币/北京乐酷达,创业工场VenturesLab,100万美元,N/A,2013-02-01,http://if.pedaily.cn/invest/550.shtml
比特007,未公开,80万美元,天使投资,2013-02-01,http://if.pedaily.cn/invest/50006384.shtml
维信理财,未公开,N/A,A轮,2013-01-30,http://if.pedaily.cn/invest/50006395.shtml
RippleCN锐博汇通科技,未公开,N/A,天使投资,2013-01-01,http://if.pedaily.cn/invest/50006388.shtml
卡小二,蓝驰创投,N/A,A轮,2013-01-01,http://if.pedaily.cn/invest/670.shtml
铜板街,华创资本,N/A,天使投资,2013-01-01,http://if.pedaily.cn/invest/50006008.shtml
大家投,创新谷Innovalley,N/A,天使投资,2013-01-01,http://if.pedaily.cn/invest/50006023.shtml
钱方,红杉资本中国,N/A,A轮,2013-01-01,http://if.pedaily.cn/invest/50006039.shtml
有利网,鼎晟天平投资,N/A,天使投资,2013-01-01,http://if.pedaily.cn/invest/50006101.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

卡小二,蓝驰创投,N/A,A轮,2013-01-01,http://if.pedaily.cn/invest/50006078.shtml
好买基金网,君联资本/联想投资,N/A,A轮,2012-12-01,http://if.pedaily.cn/invest/710.shtml
8Securities,N/A,300万美元,B轮,2012-12-01,http://if.pedaily.cn/invest/720.shtml
PosPal银豹收银系统,真格基金,N/A,pre-A轮,2012-12-01,http://if.pedaily.cn/invest/751.shtml
e家保险网/亿保网络,凯辉私募股权投资基金,1000万美元,天使投资,2012-12-01,http://if.pedaily.cn/invest/50006382.shtml
旺POS,IDG资本,400万美元,A轮,2012-11-01,http://if.pedaily.cn/invest/50006390.shtml
壹卡会,中国平安/平安创新投资基金,N/A,N/A,2012-11-01,http://if.pedaily.cn/invest/760.shtml
美家付,起点创业营,N/A,N/A,2012-11-01,http://if.pedaily.cn/invest/768.shtml
51信用卡,"华映资本,薛蛮子",600万人民币,N/A,2012-11-01,http://if.pedaily.cn/invest/771.shtml
壹卡会,中国平安/平安创新投资基金,N/A,N/A,2012-11-01,http://if.pedaily.cn/invest/775.shtml
51信用卡,"华映资本,薛蛮子",600万人民币,N/A,2012-11-01,http://if.pedaily.cn/invest/782.shtml
恩牛网络,华映资本/薛蛮子,600万人民币,天使投资,2012-11-01,http://if.pedaily.cn/invest/50006065.shtml
九次方大数据,IDG资本，博信资本,N/A,A轮,2012-10-31,http://if.pedaily.cn/invest/50006367.shtml
华夏通宝,创东方投资,N/A,A轮,2012-10-01,http://if.pedaily.cn/invest/50006387.shtml
拍拍贷,红杉资本,2500万美元,A轮,2012-09-01,http://if.pedaily.cn/invest/861.shtml
通付盾,N/A,N/A,A轮,2012-08-01,http://if.pedaily.cn/invest/889.shtml
她理财,华创资本,N/A,N/A,2012-08-01,http://if.pedaily.cn/invest/891.shtml
她理财,华创资本,N/A,天使投资,2012-08-01,http://if.pedaily.cn/invest/50006013.shtml
她理财,华创资本,N/A,天使投资,2012-08-01,
樱桃派/九樱天下,国富源投资,N/A,天使投资,2012-07-01,http://if.pedaily.cn/invest/50006365.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

樱桃派/九樱天下,国富源投资,N/A,天使投资,2012-07-01,
金斧子,德迅投资/曾李青，架桥投资,N/A,天使投资,2012-07-01,http://if.pedaily.cn/invest/50006305.shtml
融360,KPCB 凯鹏华盈，清科创投，光速安振/光速创投,700万美元,A轮,2012-03-01,http://if.pedaily.cn/invest/50006331.shtml
融360,KPCB 凯鹏华盈，清科创投，光速安振/光速创投,700万美元,A轮,2012-03-01,
钜派投资,清科创投/易居中国,N/A,A轮,2012-03-01,http://if.pedaily.cn/invest/50006057.shtml
掌上汇通,华创资本,N/A,天使投资,2012-01-01,http://if.pedaily.cn/invest/50006059.shtml
保险e超市/亿保网络,宽带资本CBC,N/A,N/A,2012-01-01,http://if.pedaily.cn/invest/488.shtml
投投是道,N/A,N/A,N/A,2012-01-01,http://if.pedaily.cn/invest/497.shtml
融和友信,华创资本,N/A,天使投资,2012-01-01,http://if.pedaily.cn/invest/50006340.shtml
融和友信,华创资本,N/A,天使投资,2012-01-01,
资信客,华创资本,N/A,A轮,2012-01-01,http://if.pedaily.cn/invest/50006386.shtml
百付天下/上海翰鑫,集富亚洲JAFCO,N/A,B轮,2012-01-01,http://if.pedaily.cn/invest/50006378.shtml
8Securities,未公开,800万美元,A轮,2012-01-01,http://if.pedaily.cn/invest/50006302.shtml
创投圈,"创新工场,真格基金,薛蛮子",N/A,N/A,2011-12-01,http://if.pedaily.cn/invest/1418.shtml
股360,经纬中国,N/A,A轮,2011-12-01,http://if.pedaily.cn/invest/50006076.shtml
数米基金网,N/A,N/A,A轮,2011-11-01,http://if.pedaily.cn/invest/1455.shtml
数米基金网,N/A,N/A,A轮,2011-11-01,http://if.pedaily.cn/invest/1462.shtml
数米基金网,N/A,N/A,A轮,2011-11-01,http://if.pedaily.cn/invest/1470.shtml
通付盾,未公开,N/A,天使投资,2011-11-01,http://if.pedaily.cn/invest/50006376.shtml
租房宝,华瓯创投,N/A,A轮,2011-11-01,http://if.pedaily.cn/invest/50006383.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

宜信,"IDG资本,KPCB 凯鹏华盈",N/A,B轮,2011-10-01,http://if.pedaily.cn/invest/1487.shtml
宜信,"IDG资本,KPCB 凯鹏华盈",N/A,B轮,2011-10-01,http://if.pedaily.cn/invest/1508.shtml
91金融,经纬中国/蓝驰创投/九合创投,N/A,天使投资,2011-10-01,http://if.pedaily.cn/invest/50006061.shtml
火球网/北京玄铁科技,经纬中国,N/A,A轮,2011-10-01,http://if.pedaily.cn/invest/50006097.shtml
火球网/北京玄铁科技,经纬中国,N/A,A轮,2011-10-01,
易优客/易宝支付,N/A,N/A,N/A,2011-09-01,http://if.pedaily.cn/invest/1523.shtml
易宝支付,TA Associates　远东宏信,N/A,C轮,2011-09-01,http://if.pedaily.cn/invest/50006380.shtml
拍拍贷,未公开,N/A,天使投资,2011-08-01,http://if.pedaily.cn/invest/50006369.shtml
上海航运运价交易SSEFC,天图资本,N/A,A轮,2011-08-01,http://if.pedaily.cn/invest/50006385.shtml
展恒理财,优点资本VantagePoint,N/A,A轮,2011-07-01,http://if.pedaily.cn/invest/50006377.shtml
乐刷/移卡科技,Infinity Venture Partners/IVP,N/A,N/A,2011-07-01,http://if.pedaily.cn/invest/1591.shtml
挖财,阿米巴资本,1000万人民币,N/A,2011-06-01,http://if.pedaily.cn/invest/1602.shtml
雪球,红杉资本,2000万人民币,A轮,2011-06-01,http://if.pedaily.cn/invest/1614.shtml
挖财,阿米巴资本,1000万人民币,N/A,2011-06-01,http://if.pedaily.cn/invest/1617.shtml
挖财,阿米巴资本,1000万人民币,N/A,2011-06-01,http://if.pedaily.cn/invest/1622.shtml
挖财,阿米巴资本,1000万人民币,天使投资,2011-06-01,http://if.pedaily.cn/invest/50006046.shtml
雪球财经,薛蛮子　明势资本,N/A,天使投资,2011-06-01,http://if.pedaily.cn/invest/50006374.shtml
融时代,蓝驰创投,N/A,B轮,2011-05-01,http://if.pedaily.cn/invest/1641.shtml
上海瀚银科技/手付通,N/A,N/A,B轮,2011-03-01,http://if.pedaily.cn/invest/1676.shtml
上海瀚银科技/手付通,N/A,N/A,B轮,2011-03-01,http://if.pedaily.cn/invest/1687.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

大童网,华平投资,41800万人民币,N/A,2011-03-01,http://if.pedaily.cn/invest/1688.shtml
酷皮,appWorks之初创投,N/A,天使投资,2011-01-01,http://if.pedaily.cn/invest/1709.shtml
上海寰融信息GFT,优点资本VantagePoint,N/A,A轮,2011-01-01,http://if.pedaily.cn/invest/1167.shtml
融道网,不公开的投资者,100万美元,天使投资,2011-01-01,http://if.pedaily.cn/invest/50006081.shtml
天使汇,未公开,N/A,天使投资,2011-01-01,http://if.pedaily.cn/invest/50006381.shtml
19pay一九付/高阳捷迅,红杉资本中国，清科创投,N/A,A轮,2010-10-01,http://if.pedaily.cn/invest/50006361.shtml
人人贷,弘合基金/东方弘道资本,N/A,天使投资,2010-06-01,http://if.pedaily.cn/invest/50006375.shtml
人人贷,弘合基金,N/A,N/A,2010-06-01,http://if.pedaily.cn/invest/1258.shtml
宜信,KPCB 凯鹏华盈,1000万美元,A轮,2010-04-01,http://if.pedaily.cn/invest/1277.shtml
百付天下/上海翰鑫,挚信资本,N/A,A轮,2010-03-01,http://if.pedaily.cn/invest/1289.shtml
数银在线,N/A,5000万人民币,A轮,2010-01-01,http://if.pedaily.cn/invest/1305.shtml
数银在线,N/A,5000万人民币,A轮,2010-01-01,http://if.pedaily.cn/invest/1328.shtml
随手科技,未公开,N/A,天使投资,2010-01-01,http://if.pedaily.cn/invest/1119.shtml
上海银商资讯,中信产业基金,N/A,A轮,2010-01-01,http://if.pedaily.cn/invest/50006389.shtml
99无限/上海瀚银,深圳市创新投资集团(深创投),N/A,A轮,2010-01-01,http://if.pedaily.cn/invest/50006373.shtml
融时代,蓝驰创投,N/A,A轮,2008-08-01,http://if.pedaily.cn/invest/1745.shtml
信用宝,"SIG海纳亚洲,软银中国/软银集团",1000万美元,B轮,2007-07-01,http://if.pedaily.cn/invest/1777.shtml
融时代,N/A,N/A,N/A,2007-01-01,http://if.pedaily.cn/invest/1786.shtml
上海捷银支付,N/A,1000万美元,D轮,2006-12-01,http://if.pedaily.cn/invest/1789.shtml
易优客/易宝支付,"英特尔投资Intel Capital,DFJ德丰杰",N/A,A轮,2006-09-01,http://if.pedaily.cn/invest/1794.shtml
融资方,投资机构,融资金额,轮次,投资时间,Url

信用宝,SIG海纳亚洲,N/A,A轮,2006-08-01,http://if.pedaily.cn/invest/1795.shtml
中天嘉华,纪源资本GGV,N/A,B轮,2005-12-01,http://if.pedaily.cn/invest/1811.shtml
信用宝,未公开,105万人民币,天使投资,2005-12-01,http://if.pedaily.cn/invest/50006368.shtml
上海捷银支付,N/A,2000万美元,C轮,2005-09-01,http://if.pedaily.cn/invest/1814.shtml
快钱支付,DCM中国,N/A,A轮,2005-08-12,http://if.pedaily.cn/invest/50006353.shtml
中天嘉华,KPCB 凯鹏华盈,N/A,A轮,2004-12-01,http://if.pedaily.cn/invest/50006036.shtml
中天嘉华,KPCB 凯鹏华盈,N/A,A轮,2004-12-01,
上海捷银支付,未公开,6500万人民币,B轮,2004-07-01,http://if.pedaily.cn/invest/50006352.shtml
成都财智软件,用友幸福投资/用友,N/A,A轮,2000-05-01,http://if.pedaily.cn/invest/50006351.shtml
Coinbase,IDG,10万美元,天使投资,0001-01-01,http://if.pedaily.cn/invest/50002001.shtml
Coinbase,Union SquareVentures,500万美元,A轮,0001-01-01,http://if.pedaily.cn/invest/50002002.shtml
网贷之家,深圳市创东方投资有限公司,N/A,A轮,0001-01-01,http://if.pedaily.cn/invest/50005000.shtml
人人贷,挚信资本,N/A,A轮,0001-01-01,http://if.pedaily.cn/invest/50006000.shtml
